Year,Pick,Draft,Pick in Draft,Drafted By,Name,Height,Weight,College,Birthday
2016,1.01,1,1,76ers,Ben Simmons,6'10,239,LSU,1996-07-20
2016,1.02,1,2,Lakers,Brandon Ingram,6'9,196,Duke,1997-09-02
2016,1.03,1,3,Celtics,Jaylen Brown,6'7,223,California,1996-10-24
2016,1.04,1,4,Suns,Dragan Bender,7'1,225,Maccabi Tel Aviv,1997-11-17
2016,1.05,1,5,Timberwolves,Kris Dunn,6'4,205,Providence,1994-03-18
2016,1.06,1,6,Hornets,Buddy Hield,6'5,212,Oklahoma,1993-12-17
2016,1.07,1,7,Nuggets,Jamal Murray,6'5,201,Kentucky,1997-02-23
2016,1.08,1,8,Suns,Marquese Chriss,6'10,233,Washington,1997-07-02
2016,1.09,1,9,Raptors,Jakob Poeltl,7'1,239,Utah,1995-10-15
2016,1.1,1,10,Bucks,Thon Maker,7'1,216,,1997-02-25
2016,1.11,1,11,Magic,Domantas Sabonis,6'10,231,Gonzaga,1996-05-03
2016,1.12,1,12,Hawks,Taurean Prince,6'8,220,Baylor,1994-08-22
2016,1.13,1,13,Kings,Georgios Papagiannis,7'2,240,Panathinaikos,1997-07-03
2016,1.14,1,14,Bulls,Denzel Valentine,6'6,210,Michigan St,1993-11-16
2016,1.15,1,15,Nuggets,Juan Hernangomez,6'9,220,Estudiantes,1995-09-28
2016,1.16,1,16,Celtics,Guerschon Yabusele,6'8,270,Rouen,1995-12-17
2016,1.17,1,17,Grizzlies,Wade Baldwin,6'4,202,Vanderbilt,1996-03-29
2016,1.18,1,18,Pistons,Henry Ellenson,7'0,242,Marquette,1997-01-13
2016,1.19,1,19,Nuggets,Malik Beasley,6'5,190,Florida St,1996-11-26
2016,1.2,1,20,Nets,Caris LeVert,6'7,191,Michigan,1994-08-25
2016,1.21,1,21,Hawks,DeAndre Bembry,6'6,207,Saint Joseph's,1994-07-04
2016,1.22,1,22,Kings,Malachi Richardson,6'6,200,Syracuse,1996-01-05
2016,1.23,1,23,Celtics,Ante Zizic,7'0,249,Cibona Zagreb,1997-01-04
2016,1.24,1,24,76ers,Timothe Luwawu,6'7,205,Mega Leks,1995-05-09
2016,1.25,1,25,Clippers,Brice Johnson,6'11,209,North Carolina,1994-06-27
2016,1.26,1,26,76ers,Furkan Korkmaz,6'7,185,Anadolu Efes,1997-07-24
2016,1.27,1,27,Raptors,Pascal Siakam,6'10,227,New Mexico St,1994-02-04
2016,1.28,1,28,Kings,Skal Labissiere,7'0,216,Kentucky,1996-03-18
2016,1.29,1,29,Spurs,Dejounte Murray,6'5,170,Washington,1996-09-19
2016,1.3,1,30,Warriors,Damian Jones,7'0,244,Vanderbilt,1995-06-30
2016,2.01,2,1,Grizzlies,Deyonta Davis,6'11,237,Michigan St,1996-12-02
2016,2.02,2,2,Lakers,Ivica Zubac,7'1,265,Mega Leks,1997-03-18
2016,2.03,2,3,Pelicans,Cheick Diallo,6'9,219,Kansas,1996-09-13
2016,2.04,2,4,Suns,Tyler Ulis,5'10,149,Kentucky,1996-01-05
2016,2.05,2,5,Grizzlies,Rade Zagorac,6'9,205,Mega Leks,1995-08-12
2016,2.06,2,6,Bucks,Malcolm Brogdon,6'6,223,Virginia,1992-12-11
2016,2.07,2,7,Rockets,Chinanu Onuaku,6'10,245,Louisville,1996-11-01
2016,2.08,2,8,Warriors,Patrick McCaw,6'7,181,UNLV,1995-10-25
2016,2.09,2,9,Clippers,David Michineau,6'4,180,Chalon,1994-06-06
2016,2.1,2,10,Clippers,Diamond Stone,6'10,254,Maryland,1997-02-10
2016,2.11,2,11,Magic,Stephen Zimmerman,7'0,234,UNLV,1996-09-09
2016,2.12,2,12,Nets,Isaiah Whitehead,6'5,210,Seton Hall,1995-03-08
2016,2.13,2,13,Rockets,Zhou Qi,7'2,218,Xinjiang,1996-01-16
2016,2.14,2,14,Hawks,Isaia Cordinier,6'5,177,Denain,1996-11-28
2016,2.15,2,15,Celtics,Demetrius Jackson,6'2,194,Notre Dame,1994-09-07
2016,2.16,2,16,Mavericks,A.J. Hammons,7'0,278,Purdue,1992-08-27
2016,2.17,2,17,Trailblazers,Jake Layman,6'9,209,Maryland,1994-03-07
2016,2.18,2,18,Bulls,Paul Zipser,6'8,210,Bayern Muenchen,1994-02-18
2016,2.19,2,19,Pistons,Michael Gbinije,6'7,205,Syracuse,1992-06-05
2016,2.2,2,20,Pacers,Georges Niang,6'9,231,Iowa St,1993-06-17
2016,2.21,2,21,Celtics,Ben Bentil,6'8,229,Providence,1995-03-29
2016,2.22,2,22,Jazz,Joel Bolomboy,6'9,224,Weber St,1994-01-28
2016,2.23,2,23,Nuggets,Petr Cornelie,6'11,220,Le Mans,1995-07-26
2016,2.24,2,24,Cavaliers,Kay Felder,5'10,177,Oakland,1995-03-29
2016,2.25,2,25,Jazz,Marcus Paige,6'2,164,North Carolina,1993-09-11
2016,2.26,2,26,Thunder,Daniel Hamilton,6'8,197,Connecticut,1995-08-08
2016,2.27,2,27,Grizzlies,Wang Zhelin,7'0,251,Fujian,1994-01-20
2016,2.28,2,28,Celtics,Abdel Nader,6'6,221,Iowa St,1993-09-25
2016,2.29,2,29,Kings,Isaiah Cousins,6'6,191,Oklahoma,1994-03-13
2016,2.3,2,30,Jazz,Tyrone Wallace,6'6,198,California,1994-06-10
2015,1.01,1,1,Timberwolves,Karl Towns,7'0,248,Kentucky,1995-11-15
2015,1.02,1,2,LA Lakers,D'Angelo Russell,6'5,193,Ohio State,1996-02-23
2015,1.03,1,3,Philadelphia,Jahlil Okafor,6'11,272,Duke,1995-12-15
2015,1.04,1,4,Knicks,Kristaps Porzingis,7'0,230,Sevilla,1995-08-02
2015,1.05,1,5,Magic,Mario Hezonja,6'8,200,Barcelona,1995-02-25
2015,1.06,1,6,Kings,Willie Cauley-Stein,7'1,242,Kentucky,1993-08-18
2015,1.07,1,7,Nuggets,Emmanuel Mudiay,6'5,200,Guangdong,1996-03-05
2015,1.08,1,8,Pistons,Stanley Johnson,6'7,242,Arizona,1996-05-29
2015,1.09,1,9,Hornets,Frank Kaminsky,7'1,231,Wisconsin,1993-04-04
2015,1.1,1,10,Heat,Justise Winslow,6'7,222,Duke,1996-03-26
2015,1.11,1,11,Pacers,Myles Turner,7'0,239,Texas,1996-03-24
2015,1.12,1,12,Jazz,Trey Lyles,6'10,241,Kentucky,1995-11-05
2015,1.13,1,13,Suns,Devin Booker,6'6,206,Kentucky,1996-10-30
2015,1.14,1,14,Thunder,Cameron Payne,6'2,183,Murray State,1994-08-08
2015,1.15,1,15,Washington,Kelly Oubre,6'7,203,Kansas,1995-12-09
2015,1.16,1,16,Celtics,Terry Rozier,6'2,190,Louisville,1994-03-17
2015,1.17,1,17,Bucks,Rashad Vaughn,6'5,199,UNLV,1996-08-16
2015,1.18,1,18,Rockets,Sam Dekker,6'9,219,Wisconsin,1994-05-08
2015,1.19,1,19,New York,Jerian Grant,6'5,198,Notre Dame,1992-10-09
2015,1.2,1,20,Raptors,Delon Wright,6'6,181,Utah,1992-04-26
2015,1.21,1,21,Mavericks,Justin Anderson,6'6,231,Virginia,1993-11-19
2015,1.22,1,22,Bulls,Bobby Portis,6'11,246,Arkansas,1995-02-10
2015,1.23,1,23,Brooklyn,Rondae Hollis-Jefferson,6'7,211,Arizona,1995-01-03
2015,1.24,1,24,Minnesota,Tyus Jones,6'2,185,Duke,1996-05-10
2015,1.25,1,25,Grizzlies,Jarell Martin,6'9,239,LSU,1994-05-24
2015,1.26,1,26,Spurs,Nikola Milutinov,7'0,220,Partizan,1994-12-30
2015,1.27,1,27,Lakers,Larry Nance,6'9,227,Wyoming,1993-01-01
2015,1.28,1,28,Celtics,R.J. Hunter,6'6,185,Georgia State,1993-10-24
2015,1.29,1,29,Nets,Chris McCullough,6'9,199,Syracuse,1995-02-05
2015,1.3,1,30,Warriors,Kevon Looney,6'9,222,UCLA,1996-02-06
2015,2.01,2,1,Cleveland,Cedi Osman,6'8,190,Anadolu Efes,1995-04-08
2015,2.02,2,2,Rockets,Montrezl Harrell,6'8,253,Louisville,1994-01-26
2015,2.03,2,3,Celtics,Jordan Mickey,6'8,238,LSU,1994-07-09
2015,2.04,2,4,Lakers,Anthony Brown,6'7,211,Stanford,1992-10-10
2015,2.05,2,5,76ers,Guillermo Hernangomez,6'11,255,Sevilla,1994-05-27
2015,2.06,2,6,Cleveland,Rakeem Christmas,6'10,243,Syracuse,1991-12-01
2015,2.07,2,7,76ers,Richaun Holmes,6'10,243,Bowling Green,1993-10-15
2015,2.08,2,8,Pistons,Darrun Hilliard,6'6,220,Villanova,1993-04-13
2015,2.09,2,9,Brooklyn,Juan Vaulet,6'6,200,Bahia Blanca,1996-03-22
2015,2.1,2,10,Heat,Josh Richardson,6'6,200,Tennessee,1993-09-15
2015,2.11,2,11,Portland,Pat Connaughton,6'5,215,Notre Dame,1993-01-06
2015,2.12,2,12,Jazz,Olivier Hanlan,6'4,186,Boston College,1993-02-15
2015,2.13,2,13,Pacers,Joseph Young,6'2,182,Oregon,1992-06-27
2015,2.14,2,14,Memphis,Andrew Harrison,6'6,213,Kentucky,1994-10-20
2015,2.15,2,15,Celtics,Marcus Thornton,6'3,177,William & Mary,1993-02-09
2015,2.16,2,16,Toronto,Norman Powell,6'4,215,UCLA,1993-05-25
2015,2.17,2,17,76ers,Arturas Gudaitis,6'10,253,Zalgiris,1993-06-19
2015,2.18,2,18,Thunder,Dakari Johnson,7'0,265,Kentucky,1995-09-22
2015,2.19,2,19,Wizards,Aaron White,6'9,220,Iowa,1992-09-10
2015,2.2,2,20,Hawks,Marcus Eriksson,6'7,178,Barcelona,1993-12-05
2015,2.21,2,21,Magic,Tyler Harvey,6'4,181,Eastern Wash.,1993-07-17
2015,2.22,2,22,Mavericks,Satnam Singh,7'2,290,IMG Academy,1995-12-10
2015,2.23,2,23,Cavaliers,Sir'Dominic Pointer,6'5,193,St. John's,1992-05-06
2015,2.24,2,24,Portland,Daniel Diez,6'8,216,San Sebastian,1993-04-07
2015,2.25,2,25,Spurs,Cady Lalanne,6'10,241,Massachusetts,1992-04-22
2015,2.26,2,26,Pelicans,Branden Dawson,6'7,230,Michigan State,1993-02-01
2015,2.27,2,27,Nuggets,Nikola Radicevic,6'5,200,Sevilla,1994-04-26
2015,2.28,2,28,76ers,J.P. Tokoto,6'6,196,North Carolina,1993-09-15
2015,2.29,2,29,Hawks,Dimitris Agravanis,6'10,210,Olympiakos,1994-12-20
2015,2.3,2,30,76ers,Luka Mitrovic,6'8,200,Red Star,1993-03-21
2014,1.01,1,1,Cavaliers,Andrew Wiggins,6'8,197,Kansas,1995-02-23
2014,1.02,1,2,Bucks,Jabari Parker,6'8,241,Duke,1995-03-15
2014,1.03,1,3,76ers,Joel Embiid,7'0,240,Kansas,1994-03-16
2014,1.04,1,4,Magic,Aaron Gordon,6'9,220,Arizona,1995-09-16
2014,1.05,1,5,Jazz,Dante Exum,6'6,196,Australian Institute of Sport,1995-07-13
2014,1.06,1,6,Celtics,Marcus Smart,6'3,227,Oklahoma State,1994-03-06
2014,1.07,1,7,Lakers,Julius Randle,6'9,250,Kentucky,1994-11-29
2014,1.08,1,8,Kings,Nik Stauskas,6'6,207,Michigan,1993-10-07
2014,1.09,1,9,Hornets,Noah Vonleh,6'9,247,Indiana,1995-08-24
2014,1.1,1,10,Magic,Elfrid Payton,6'4,185,La Lafayette,1994-02-22
2014,1.11,1,11,Bulls,Doug McDermott,6'8,218,Creighton,1992-01-03
2014,1.12,1,12,76ers,Dario Saric,6'10,223,Cibona Zagreb,1994-04-08
2014,1.13,1,13,Timberwolves,Zach LaVine,6'6,181,UCLA,1995-03-10
2014,1.14,1,14,Suns,T.J. Warren,6'8,220,N.C. State,1993-09-05
2014,1.15,1,15,Hawks,Adreian Payne,6'10,239,Michigan State,1991-02-18
2014,1.16,1,16,Nuggets,Jusuf Nurkic,6'11,280,Cedevita,1994-08-23
2014,1.17,1,17,Celtics,James Young,6'7,213,Kentucky,1995-08-16
2014,1.18,1,18,Suns,Tyler Ennis,6'2,182,Syracuse,1994-08-24
2014,1.19,1,19,Nuggets,Gary Harris,6'4,205,Michigan State,1994-09-14
2014,1.2,1,20,Raptors,Bruno Caboclo,6'9,200,Pinheiros,1995-09-21
2014,1.21,1,21,Thunder,Mitch McGary,6'10,263,Michigan,1992-06-06
2014,1.22,1,22,Grizzlies,Jordan Adams,6'5,209,UCLA,1994-07-08
2014,1.23,1,23,Jazz,Rodney Hood,6'8,208,Duke,1992-10-20
2014,1.24,1,24,Heat,Shabazz Napier,6'1,175,Connecticut,1991-07-14
2014,1.25,1,25,Rockets,Clint Capela,6'11,222,Chalon,1994-05-18
2014,1.26,1,26,Bobcats,P.J. Hairston,6'5,229,North Carolina,1992-12-24
2014,1.27,1,27,Suns,Bogdan Bogdanovic,6'6,200,Partizan,1992-08-18
2014,1.28,1,28,Clippers,C.J. Wilcox,6'5,201,Washington,1990-12-30
2014,1.29,1,29,Thunder,Josh Huestis,6'7,213,Stanford,1991-12-19
2014,1.3,1,30,Spurs,Kyle Anderson,6'8,230,UCLA,1993-09-20
2014,2.01,2,1,Bucks,Damien Inglis,6'8,240,Roanne,1995-05-20
2014,2.02,2,2,76ers,K.J. McDaniels,6'6,196,Clemson,1993-02-09
2014,2.03,2,3,Cavaliers,Joe Harris,6'6,215,Virginia,1991-09-07
2014,2.04,2,4,Knicks,Cleanthony Early,6'7,209,Wichita State,1991-04-17
2014,2.05,2,5,Jazz,Jarnell Stokes,6'8,263,Tennessee,1994-01-07
2014,2.06,2,6,Bucks,Johnny O'Bryant,6'8,257,LSU,1993-06-01
2014,2.07,2,7,Raptors,DeAndre Daniels,6'8,196,Connecticut,1992-04-15
2014,2.08,2,8,Pistons,Spencer Dinwiddie,6'6,205,Colorado,1993-04-06
2014,2.09,2,9,76ers,Jerami Grant,6'8,214,Syracuse,1994-03-12
2014,2.1,2,10,Timberwolves,Glenn Robinson,6'7,211,Michigan,1994-01-08
2014,2.11,2,11,Nuggets,Nikola Jokic,6'11,253,Mega Vizura,1995-02-19
2014,2.12,2,12,Rockets,Nick Johnson,6'3,198,Arizona,1992-12-22
2014,2.13,2,13,Hawks,Walter Tavares,7'3,265,Gran Canaria,1992-03-22
2014,2.14,2,14,Timberwolves,Markel Brown,6'3,184,Oklahoma State,1992-01-29
2014,2.15,2,15,Hornets,Dwight Powell,6'11,234,Stanford,1991-07-20
2014,2.16,2,16,Wizards,Jordan Clarkson,6'5,186,Missouri,1992-06-07
2014,2.17,2,17,76ers,Russ Smith,6'1,160,Louisville,1991-04-19
2014,2.18,2,18,Bucks,Lamar Patterson,6'5,226,Pittsburgh,1991-08-12
2014,2.19,2,19,Bulls,Cameron Bairstow,6'10,252,New Mexico,1990-12-07
2014,2.2,2,20,Suns,Alec Brown,7'1,231,Wisc. Green Bay,1992-07-23
2014,2.21,2,21,Knicks,Thanasis Antetokounmpo,6'6,205,Delaware,1992-07-17
2014,2.22,2,22,76ers,Vasilije Micic,6'6,202,Mega Vizura,1994-01-13
2014,2.23,2,23,Timberwolves,Alessandro Gentile,6'6,200,Milano,1992-11-12
2014,2.24,2,24,76ers,Nemanja Dangubic,6'8,193,Mega Vizura,1993-04-13
2014,2.25,2,25,Heat,Semaj Christon,6'3,186,Xavier,1992-11-01
2014,2.26,2,26,Magic,Devyn Marble,6'6,192,Iowa,1992-09-21
2014,2.27,2,27,Pacers,Louis Labeyrie,6'10,200,Paris-Levallois,1992-02-11
2014,2.28,2,28,Spurs,Jordan McRae,6'5,179,Tennessee,1991-03-28
2014,2.29,2,29,Raptors,Xavier Thames,6'3,187,San Diego State,1991-01-19
2014,2.3,2,30,Spurs,Corey Jefferson,6'9,218,Baylor,1990-12-26
2013,1.01,1,1,Cavaliers,Anthony Bennett,6'7,239,UNLV,1993-03-14
2013,1.02,1,2,Magic,Victor Oladipo,6'4,213,Indiana,1992-05-04
2013,1.03,1,3,Wizards,Otto Porter,6'9,198,Georgetown,1993-06-03
2013,1.04,1,4,Bobcats,Cody Zeller,7'0,230,Indiana,1992-10-05
2013,1.05,1,5,Suns,Alex Len,7'1,255,Maryland,1993-06-16
2013,1.06,1,6,76ers,Nerlens Noel,7'0,206,Kentucky,1994-04-10
2013,1.07,1,7,Kings,Ben McLemore,6'5,189,Kansas,1993-02-11
2013,1.08,1,8,Pistons,Kentavious Caldwell-Pope,6'6,204,Georgia,1993-02-18
2013,1.09,1,9,Jazz,Trey Burke,6'1,187,Michigan,1992-11-12
2013,1.1,1,10,Trailblazers,C.J. McCollum,6'3,197,Lehigh,1991-09-19
2013,1.11,1,11,76ers,Michael Carter-Williams,6'6,184,Syracuse,1991-10-12
2013,1.12,1,12,Thunder,Steven Adams,7'0,255,Pittsburgh,1993-07-28
2013,1.13,1,13,Celtics,Kelly Olynyk,7'0,234,Gonzaga,1991-04-19
2013,1.14,1,14,Timberwolves,Shabazz Muhammad,6'6,222,UCLA,1992-11-13
2013,1.15,1,15,Bucks,Giannis Adetokunbo,6'9,196,Filathlitikos,1994-12-06
2013,1.16,1,16,Hawks,Lucas Nogueira,7'0,220,Estudiantes,1992-07-26
2013,1.17,1,17,Hawks,Dennis Schroeder,6'2,165,Braunschweig,1993-09-15
2013,1.18,1,18,Mavericks,Shane Larkin,5'11,171,Miami FL,1992-10-02
2013,1.19,1,19,Cavaliers,Sergey Karasev,6'7,197,Triumph Moscow,1993-10-26
2013,1.2,1,20,Bulls,Tony Snell,6'7,198,New Mexico,1991-11-10
2013,1.21,1,21,Timberwolves,Gorgui Dieng,6'11,230,Louisville,1990-01-18
2013,1.22,1,22,Nets,Mason Plumlee,7'0,238,Duke,1990-03-05
2013,1.23,1,23,Pacers,Solomon Hill,6'7,226,Arizona,1991-03-18
2013,1.24,1,24,Knicks,Tim Hardaway Jr,6'6,185,Michigan,1992-03-16
2013,1.25,1,25,Clippers,Reggie Bullock,6'7,200,North Carolina,1991-03-16
2013,1.26,1,26,Thunder,Andre Roberson,6'7,206,Colorado,1991-12-04
2013,1.27,1,27,Jazz,Rudy Gobert,7'2,238,Cholet,1992-06-26
2013,1.28,1,28,Spurs,Livio Jean-Charles,6'9,217,Villeurbanne,1993-11-08
2013,1.29,1,29,Suns,Archie Goodwin,6'5,189,Kentucky,1994-08-17
2013,1.3,1,30,Warriors,Nemanja Nedovic,6'4,200,Lietuvos Rytas,1991-06-16
2013,2.01,2,1,Trailblazers,Allen Crabbe,6'6,197,California,1992-04-04
2013,2.02,2,2,Thunder,Alex Abrines,6'5,190,Barcelona,1993-08-01
2013,2.03,2,3,Cavaliers,Carrick Felix,6'6,203,Arizona State,1990-08-17
2013,2.04,2,4,Rockets,Isaiah Canaan,6'0,188,Murray State,1991-05-21
2013,2.05,2,5,Wizards,Glen Rice,6'6,211,Rio Grande Valley,1991-01-01
2013,2.06,2,6,Kings,Ray McCallum,6'2,191,Detroit,1991-06-12
2013,2.07,2,7,Pistons,Tony Mitchell,6'9,236,North Texas,1992-04-07
2013,2.08,2,8,Bucks,Nate Wolters,6'5,196,South Dakota St,1991-05-15
2013,2.09,2,9,Trailblazers,Jeff Withey,7'0,222,Kansas,1990-03-07
2013,2.1,2,10,Thunder,Grant Jerrett,6'10,232,Arizona,1993-07-08
2013,2.11,2,11,Grizzlies,Jamaal Franklin,6'5,191,San Diego State,1991-07-21
2013,2.12,2,12,Pelicans,Pierre Jackson,5'10,176,Baylor,1991-08-29
2013,2.13,2,13,Mavericks,Ricky Ledo,6'6,197,Providence,1992-09-10
2013,2.14,2,14,Hawks,Mike Muscala,6'11,230,Bucknell,1991-07-01
2013,2.15,2,15,Trailblazers,Marko Todorovic,6'11,240,Barcelona,1992-04-19
2013,2.16,2,16,Nuggets,Erick Green,6'3,178,Virginia Tech,1991-05-09
2013,2.17,2,17,Hawks,Raul Neto,6'2,179,San Sebastian,1992-05-19
2013,2.18,2,18,Lakers,Ryan Kelly,7'0,228,Duke,1991-04-09
2013,2.19,2,19,Bulls,Erik Murphy,6'10,240,Florida,1990-10-26
2013,2.2,2,20,Heat,James Ennis,6'7,201,Long Beach State,1990-07-01
2013,2.21,2,21,Magic,Romero Osby,6'7,230,Oklahoma,1990-05-07
2013,2.22,2,22,Timberwolves,Lorenzo Brown,6'5,189,N.C. State,1990-08-26
2013,2.23,2,23,Celtics,Colton Iverson,7'0,263,Colorado State,1989-06-29
2013,2.24,2,24,76ers,Arsalan Kazemi,6'8,225,Oregon,1990-04-22
2013,2.25,2,25,Nuggets,Joffrey Lauvergne,6'11,240,Partizan,1991-09-30
2013,2.26,2,26,Pistons,Peyton Siva,6'1,181,Louisville,1990-10-24
2013,2.27,2,27,Suns,Alex Oriakhi,6'9,238,Missouri,1990-06-21
2013,2.28,2,28,Spurs,Deshaun Thomas,6'7,220,Ohio State,1991-08-29
2013,2.29,2,29,Timberwolves,Bojan Dubljevic,6'10,242,Valencia,1991-10-24
2013,2.3,2,30,Grizzlies,Janis Timma,6'7,226,Ventspils,1992-07-02
2012,1.01,1,1,Hornets,Anthony Davis,6'10'',222,Kentucky,1993-03-11
2012,1.02,1,2,Bobcats,Michael Kidd-Gilchrist,6'7'',233,Kentucky,1993-09-28
2012,1.03,1,3,Wizards,Bradley Beal,6'5'',202,Florida,1993-06-28
2012,1.04,1,4,Cavaliers,Dion Waiters,6'4'',221,Syracuse,1991-12-01
2012,1.05,1,5,Kings,Thomas Robinson,6'9'',244,Kansas,1991-03-17
2012,1.06,1,6,Trailblazers,Damian Lillard,6'3'',189,Weber State,1990-07-15
2012,1.07,1,7,Warriors,Harrison Barnes,6'8'',228,North Carolina,1992-05-30
2012,1.08,1,8,Raptors,Terrence Ross,6'7'',197,Washington,1991-02-05
2012,1.09,1,9,Pistons,Andre Drummond,7'0'',279,Connecticut,1993-08-10
2012,1.1,1,10,Hornets,Austin Rivers,6'5'',203,Duke,1992-08-01
2012,1.11,1,11,Trailblazers,Meyers Leonard,7'1'',250,Illinois,1992-02-27
2012,1.12,1,12,Rockets,Jeremy Lamb,6'5'',179,Connecticut,1992-05-30
2012,1.13,1,13,Suns,Kendall Marshall,6'4'',198,North Carolina,1991-09-19
2012,1.14,1,14,Bucks,John Henson,6'10'',216,North Carolina,1990-12-28
2012,1.15,1,15,76ers,Moe Harkless,6'9'',207,St. John's,1993-05-11
2012,1.16,1,16,Rockets,Royce White,6'8'',261,Iowa State,1991-04-10
2012,1.17,1,17,Cavaliers,Tyler Zeller,7'0'',247,North Carolina,1990-01-17
2012,1.18,1,18,Rockets,Terrence Jones,6'9'',252,Kentucky,1992-01-09
2012,1.19,1,19,Magic,Andrew Nicholson,6'9'',234,St. Bonaventure,1989-12-08
2012,1.2,1,20,Nuggets,Evan Fournier,6'7'',204,Poitiers,1992-10-29
2012,1.21,1,21,Celtics,Jared Sullinger,6'9'',268,Ohio State,1992-03-04
2012,1.22,1,22,Celtics,Fab Melo,7'0'',255,Syracuse,1990-06-20
